imdbid,bechdel_rating,title,year,binary,budget_2013,domgross_2013,intgross_2013,genres,A,B,C,averageRating,numVotes
120611,1,Blade,1998,FAIL,64310954,100242021.0,187556021.0,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,7.1,230940
118789,1,Buffalo &#39;66,1998,FAIL,2143698,3402201.0,3402201.0,"Comedy,Crime,Drama",Comedy,Crime,Drama,7.5,43550
118929,1,Dark City,1998,FAIL,38586572,20629634.0,38953947.0,"Mystery,Sci-Fi,Thriller",Mystery,Sci-Fi,Thriller,7.6,179259
120647,3,Deep Impact,1998,PASS,114330585,200742590.0,499431243.0,"Action,Drama,Romance",Action,Drama,Romance,6.2,153411
134619,1,Disturbing Behavior,1998,FAIL,21436985,25020345.0,25020345.0,"Horror,Mystery,Sci-Fi",Horror,Mystery,Sci-Fi,5.6,19792
127536,3,Elizabeth,1998,PASS,35728308,42992157.0,117404137.0,"Biography,Drama,History",Biography,Drama,History,7.4,86919
120631,3,Ever After,1998,PASS,37157440,93902242.0,93902242.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.0,65709
120669,1,Fear and Loathing in Las Vegas,1998,FAIL,26438948,15263526.0,19596124.0,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,7.6,245657
162973,2,Get Real,1998,FAIL,2858265,1646948.0,1646948.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.5,11913
120685,3,Godzilla,1998,FAIL,178641539,194811162.0,537353750.0,"Action,Sci-Fi,Thriller",Action,Sci-Fi,Thriller,5.4,174325
147004,3,Little Voice,1998,PASS,8574794,6566863.0,31136839.0,"Comedy,Drama,Music",Comedy,Drama,Music,6.9,15226
120738,3,Lost in Space,1998,PASS,114330585,98778237.0,194429617.0,"Action,Adventure,Family",Action,Adventure,Family,5.2,66979
120744,1,"Man in the Iron Mask, The",1998,FAIL,50019631,81415051.0,81415051.0,"Action,Adventure,Drama",Action,Adventure,Drama,6.5,148397
120746,1,"Mask of Zorro, The",1998,FAIL,92893600,134093691.0,333988221.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,6.7,158803
120749,1,Mercury Rising,1998,FAIL,85747939,47137546.0,47137546.0,"Action,Crime,Drama",Action,Crime,Drama,6.1,63454
120762,3,Mulan,1998,FAIL,128621908,172382303.0,433741657.0,"Adventure,Animation,Family",Adventure,Animation,Family,7.6,228983
120768,1,"Negotiator, The",1998,FAIL,71456616,63890455.0,70178637.0,"Action,Crime,Drama",Action,Crime,Drama,7.3,123589
120780,2,Out of Sight,1998,FAIL,68598351,53681880.0,110847172.0,"Comedy,Crime,Drama",Comedy,Crime,Drama,7.0,80775
138704,2,Pi,1998,FAIL,97181,4603452.0,6686214.0,"Drama,Horror,Mystery",Drama,Horror,Mystery,7.4,162222
120791,3,Practical Magic,1998,PASS,85747939,66955646.0,97662611.0,"Comedy,Drama,Fantasy",Comedy,Drama,Fantasy,6.3,67267
120794,3,"Prince of Egypt, The",1998,FAIL,85747939,144932864.0,312408324.0,"Adventure,Animation,Drama",Adventure,Animation,Drama,7.1,110082
120800,3,Quest for Camelot,1998,PASS,57165293,32544916.0,54553553.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,6.3,13684
130827,1,Run Lola Run,1998,FAIL,2500982,10385968.0,20769827.0,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.7,180808
120812,3,Rush Hour,1998,PASS,50019631,201774709.0,350566156.0,"Action,Comedy,Crime",Action,Comedy,Crime,7.0,224021
138097,3,Shakespeare in Love,1998,PASS,37157440,143367401.0,399442481.0,"Comedy,Drama,History",Comedy,Drama,History,7.1,203631
120828,1,Six Days Seven Nights,1998,FAIL,114330585,106240687.0,235521005.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,5.8,69250
120148,3,Sliding Doors,1998,PASS,8574794,17022681.0,84046055.0,"Comedy,Drama,Fantasy",Comedy,Drama,Fantasy,6.7,60066
122718,1,Small Soldiers,1998,FAIL,57165293,78807819.0,102531416.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,6.2,87412
120184,1,Sphere,1998,FAIL,104326659,52975497.0,71697130.0,"Drama,Horror,Mystery",Drama,Horror,Mystery,6.1,94834
120844,3,Star Trek: Insurrection,1998,PASS,100039262,100307450.0,168351786.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.4,66178
120382,1,"Truman Show, The",1998,FAIL,85747939,179525030.0,354996466.0,"Comedy,Drama,Sci-Fi",Comedy,Drama,Sci-Fi,8.1,856603
120877,0,Vampires (John Carpenter&#39;s),1998,FAIL,28582646,28966833.0,28966833.0,"Action,Horror,Thriller",Action,Horror,Thriller,6.2,49634
120890,3,Wild Things,1998,FAIL,28582646,42581425.0,79426456.0,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.5,102279
128853,3,You&#39;ve Got Mail,1998,PASS,92893600,165524241.0,358426384.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.6,180291
120133,3,A Simple Wish,1997,PASS,40634668,11849668.0,11849668.0,"Comedy,Family,Fantasy",Comedy,Family,Fantasy,5.4,4921
118570,1,Air Bud,1997,FAIL,4353714,35768573.0,40327947.0,"Comedy,Drama,Family",Comedy,Drama,Family,5.2,15436
118571,1,Air Force One,1997,FAIL,123355241,251000935.0,457529453.0,"Action,Drama,Thriller",Action,Drama,Thriller,6.5,169686
118583,3,Alien: Resurrection,1997,PASS,87074287,69361952.0,233213967.0,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,6.2,214743
118617,3,Anastasia,1997,PASS,76915621,84757254.0,202885136.0,"Adventure,Animation,Drama",Adventure,Animation,Drama,7.1,104519
119822,3,As Good as It Gets,1997,PASS,72561906,215476950.0,455851198.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.7,258421
118829,3,Cats Don&#39;t Dance,1997,PASS,46439620,5207916.0,5207916.0,"Animation,Comedy,Family",Animation,Comedy,Family,6.9,6608
118842,3,Chasing Amy,1997,PASS,362810,17424311.0,21993652.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.2,126690
118880,2,Con Air,1997,FAIL,116099050,146745677.0,325247966.0,"Action,Crime,Thriller",Action,Crime,Thriller,6.9,261085
118883,2,Conspiracy Theory,1997,FAIL,116099050,110466780.0,207213175.0,"Action,Mystery,Thriller",Action,Mystery,Thriller,6.7,88699
118884,3,Contact,1997,PASS,130611431,146459429.0,240760405.0,"Drama,Mystery,Sci-Fi",Drama,Mystery,Sci-Fi,7.4,239186
118971,3,"Devil&#39;s Advocate, The",1997,PASS,82720573,88536300.0,222050207.0,"Drama,Mystery,Thriller",Drama,Mystery,Thriller,7.5,307149
119081,3,Event Horizon,1997,PASS,87074287,38709226.0,38709226.0,"Horror,Sci-Fi,Thriller",Horror,Sci-Fi,Thriller,6.7,145954
119114,3,Fever Pitch,1997,PASS,58049525,61055139.0,72665044.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.7,9556
119116,1,"Fifth Element, The",1997,FAIL,137867622,92256459.0,382981741.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,7.7,409493
119137,2,Flubber,1997,FAIL,116099050,134956149.0,258311390.0,"Comedy,Family,Sci-Fi",Comedy,Family,Sci-Fi,5.3,79389
119173,3,G.I. Jane,1997,PASS,72561906,69904916.0,69904916.0,"Action,Drama,War",Action,Drama,War,5.9,69729
