bechdel_rating,title,year,binary,budget_2013$,domgross_2013$,intgross_2013$,genres,averageRating,numVotes
3,"Golden Compass, The",2007,PASS,230326414,78769081.0,418222056.0,"Adventure,Family,Fantasy",6.1,169626
3,Gone Baby Gone,2007,PASS,21347326,22808178.0,38896737.0,"Crime,Drama,Mystery",7.6,237239
3,Hairspray,2007,PASS,84265761,133557691.0,227935344.0,"Comedy,Drama,Musical",6.6,114341
3,Halloween,2007,PASS,16853152,65467925.0,87090800.0,Horror,6.1,103918
1,Hannibal Rising,2007,FAIL,56177174,31088139.0,90538854.0,"Adventure,Crime,Drama",6.2,98881
3,Harry Potter and the Order of the Phoenix,2007,PASS,168531522,328080020.0,1059438513.0,"Action,Adventure,Family",7.5,463665
0,Hitman,2007,FAIL,19662011,44590850.0,112315914.0,"Action,Crime,Thriller",6.3,155300
3,Hostel: Part II,2007,PASS,8426576,19712359.0,37758262.0,Horror,5.5,81434
1,Hot Fuzz,2007,FAIL,17976696,26536733.0,91841386.0,"Action,Comedy,Mystery",7.8,433409
1,Hot Rod,2007,FAIL,28088587,15660322.0,16105323.0,"Comedy,Sport",6.7,70801
3,I Am Legend,2007,PASS,168531522,288068696.0,657733649.0,"Drama,Sci-Fi,Thriller",7.2,644059
1,Into the Wild,2007,FAIL,22470870,20621917.0,63362472.0,"Adventure,Biography,Drama",8.1,532906
3,Juno,2007,PASS,7864804,161223170.0,260044254.0,"Comedy,Drama",7.4,470814
0,"Kite Runner, The",2007,FAIL,22470870,17752075.0,83345293.0,Drama,7.6,75005
